product_name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
office_furniture,furniture_living_room,garden_tools,auto,sports_leisure,health_beauty,furniture_decor,bed_bath_table,agro_industry_and_commerce,kitchen_dining_laundry_garden_furniture,industry_commerce_and_business,housewares,home_construction,home_appliances,home_comfort_2,home_appliances_2,la_cuisine,furniture_mattress_and_upholstery,home_confort,luggage_accessories,music
party_supplies,bed_bath_table,agro_industry_and_commerce,kitchen_dining_laundry_garden_furniture,industry_commerce_and_business,housewares,home_construction,home_confort,home_comfort_2,home_appliances_2,home_appliances,health_beauty,garden_tools,furniture_mattress_and_upholstery,furniture_living_room,furniture_decor,furniture_bedroom,la_cuisine,luggage_accessories,market_place,music
perfumery,toys,food,auto,fashion_shoes,consoles_games,fashion_bags_accessories,unknown,health_beauty,furniture_decor,sports_leisure,watches_gifts,bed_bath_table,stationery,electronics,housewares,security_and_services,furniture_mattress_and_upholstery,telephony,tablets_printing_image,garden_tools
pet_shop,auto,construction_tools_construction,consoles_games,electronics,unknown,bed_bath_table,furniture_decor,health_beauty,fashion_bags_accessories,garden_tools,computers_accessories,cool_stuff,la_cuisine,kitchen_dining_laundry_garden_furniture,home_construction,housewares,home_confort,home_comfort_2,home_appliances_2,home_appliances
security_and_services,agro_industry_and_commerce,kitchen_dining_laundry_garden_furniture,industry_commerce_and_business,housewares,home_construction,home_confort,home_comfort_2,la_cuisine,home_appliances_2,health_beauty,garden_tools,furniture_mattress_and_upholstery,furniture_living_room,furniture_decor,furniture_bedroom,home_appliances,food_drink,luggage_accessories,music,toys
signaling_and_security,agro_industry_and_commerce,kitchen_dining_laundry_garden_furniture,industry_commerce_and_business,housewares,home_construction,home_confort,home_comfort_2,la_cuisine,home_appliances_2,health_beauty,garden_tools,furniture_mattress_and_upholstery,furniture_living_room,furniture_decor,furniture_bedroom,home_appliances,food_drink,luggage_accessories,music,toys
small_appliances,health_beauty,housewares,sports_leisure,telephony,industry_commerce_and_business,home_construction,home_confort,home_comfort_2,home_appliances_2,agro_industry_and_commerce,kitchen_dining_laundry_garden_furniture,garden_tools,furniture_mattress_and_upholstery,furniture_living_room,furniture_decor,furniture_bedroom,home_appliances,la_cuisine,luggage_accessories,market_place
small_appliances_home_oven_and_coffee,agro_industry_and_commerce,kitchen_dining_laundry_garden_furniture,industry_commerce_and_business,housewares,home_construction,home_confort,home_comfort_2,la_cuisine,home_appliances_2,health_beauty,garden_tools,furniture_mattress_and_upholstery,furniture_living_room,furniture_decor,furniture_bedroom,home_appliances,food_drink,luggage_accessories,music,toys
sports_leisure,small_appliances,construction_tools_lights,fixed_telephony,audio,market_place,fashion_male_clothing,office_furniture,food_drink,drinks,health_beauty,perfumery,cool_stuff,bed_bath_table,unknown,auto,housewares,food,consoles_games,luggage_accessories,furniture_decor
stationery,telephony,auto,computers_accessories,garden_tools,unknown,toys,health_beauty,perfumery,luggage_accessories,housewares,watches_gifts,sports_leisure,bed_bath_table,furniture_decor,home_appliances,home_appliances_2,home_comfort_2,home_confort,home_construction,furniture_living_room
tablets_printing_image,cool_stuff,agro_industry_and_commerce,industry_commerce_and_business,housewares,home_construction,home_confort,home_comfort_2,kitchen_dining_laundry_garden_furniture,home_appliances_2,health_beauty,garden_tools,furniture_mattress_and_upholstery,furniture_living_room,furniture_decor,furniture_bedroom,home_appliances,la_cuisine,luggage_accessories,market_place,toys
telephony,stationery,toys,watches_gifts,computers_accessories,small_appliances,garden_tools,cool_stuff,sports_leisure,auto,electronics,bed_bath_table,fashion_bags_accessories,housewares,health_beauty,baby,home_construction,home_appliances,home_comfort_2,home_appliances_2,industry_commerce_and_business
toys,perfumery,furniture_living_room,costruction_tools_garden,electronics,telephony,musical_instruments,housewares,baby,stationery,construction_tools_construction,consoles_games,cool_stuff,health_beauty,computers_accessories,fashion_bags_accessories,sports_leisure,bed_bath_table,furniture_decor,watches_gifts,auto
unknown,costruction_tools_garden,cool_stuff,furniture_living_room,construction_tools_construction,stationery,computers_accessories,housewares,fashion_bags_accessories,perfumery,bed_bath_table,pet_shop,sports_leisure,health_beauty,furniture_decor,watches_gifts,toys,party_supplies,furniture_mattress_and_upholstery,garden_tools,home_appliances
watches_gifts,computers_accessories,baby,fashion_bags_accessories,telephony,health_beauty,cool_stuff,audio,perfumery,electronics,housewares,bed_bath_table,auto,stationery,furniture_decor,garden_tools,sports_leisure,unknown,toys,industry_commerce_and_business,home_appliances
